"","document","topic","gamma"
"1","20693516",1,0.000430542929418962
"2","22513893",1,0.000127622162708013
"3","22987482",1,0.000203433196554979
"4","24787801",1,0.804936237616182
"5","25595492",1,0.000169585162548658
"6","25600580",1,0.0814261670426878
"7","25812816",1,0.000394806002744861
"8","25824957",1,0.000204404571530104
"9","25965275",1,0.000364547022035704
"10","26218391",1,0.0567635412184948
"11","26247474",1,7.90650847483021e-05
"12","26331854",1,0.000519338273789983
"13","26491425",1,0.000582993001351682
"14","26529567",1,0.000242637435814927
"15","26611387",1,0.000194204191065831
"16","26616962",1,0.000545825637500049
"17","26705784",1,0.000338596116323067
"18","26706240",1,0.00576300386993376
"19","26800452",1,0.000202471010283383
"20","26854986",1,0.000160073156805653
"21","26866479",1,0.000142017482227867
"22","26975640",1,0.000402225210168833
"23","27007353",1,7.74907333298645e-05
"24","27054162",1,0.000189896737651551
"25","27116051",1,0.000198711593038483
"26","27347820",1,0.000355465742479275
"27","27470721",1,3.99542049081196e-05
"28","27489124",1,8.62321426826215e-05
"29","27723156",1,0.165426701276274
"30","27752201",1,0.000195089238187242
"31","27790905",1,0.0518920551112981
"32","27838280",1,0.000116191081334302
"33","27839789",1,0.000130740335406837
"34","27857790",1,0.648474059883176
"35","27865238",1,0.814992976461119
"36","27865814",1,0.000112822585537273
"37","27891019",1,0.849021350587844
"38","28112290",1,0.000180299048758389
"39","28114758",1,0.000406040372201485
"40","28264162",1,0.00021682861400304
"41","28319278",1,0.000233377882722404
"42","28329738",1,0.000115252613667917
"43","28339882",1,9.6321674860106e-05
"44","28387907",1,7.67956595075113e-05
"45","28500066",1,0.000214654109656586
"46","28565187",1,0.00047868697172325
"47","28572202",1,0.602982040009562
"48","28581644",1,0.088538993224089
"49","28607400",1,0.000126865722031871
"50","28635179",1,0.000102551934256328
"51","28664781",1,0.000203433196554979
"52","28727632",1,0.000143445137580771
"53","28767707",1,4.32217723984241e-05
"54","28828573",1,9.94546104396187e-05
"55","28844069",1,0.000158297381636878
"56","28930710",1,8.04015765463528e-05
"57","28942614",1,0.000335938961677038
