"","document","topic","gamma"
"266","34406896",1,3.64307191728159e-05
"267","34424706",1,1.9811206809759e-05
"268","34439201",1,1.00423359590416e-05
"269","34442192",1,1.57027258766752e-05
"270","34450732",1,4.3295955585965e-06
"271","34498033",1,0.333040060145494
"272","34499843",1,7.53213017018951e-06
"273","34502682",1,0.119976383651245
"274","34503547",1,5.94102414226434e-06
"275","34525969",1,6.85811493708651e-05
"276","34526251",1,2.78433531102555e-05
"277","34534079",1,2.17041030786078e-05
"278","34575783",1,3.07419191465111e-05
"279","34578641",1,2.41935327130399e-05
"280","34586306",1,9.31384794019458e-06
"281","34593341",1,1.64919879908657e-05
"282","34604106",1,1.96791840801453e-05
"283","34637868",1,4.46713471677826e-06
"284","34640611",1,3.74723168253532e-06
"285","34652782",1,1.25629697928236e-05
"286","34660949",1,1.64003958881533e-05
"287","34676168",1,9.94091838976692e-06
"288","34722107",1,2.98109012598388e-05
"289","34730542",1,1.10163777771327e-05
"290","34744060",1,2.56654266066393e-05
"291","34757449",1,0.858986692255994
"292","34767582",1,4.6829747271496e-05
"293","34774290",1,6.00139315703905e-06
"294","34790550",1,1.53756863543228e-05
"295","34794630",1,5.74455370117964e-06
"296","34825402",1,3.84982073904345e-06
"297","34841789",1,1.15326513778942e-05
"298","34841907",1,2.36131621451161e-05
"299","34889229",1,9.97449587381009e-06
"300","34903605",1,6.41142009670173e-05
"301","34909182",1,0.242366861917687
"302","34973135",1,7.51296732439503e-06
"303","34973165",1,1.36047759051318e-05
"304","35033505",1,1.30056024628855e-05
"305","35039565",1,1.57866711601045e-05
"306","35040975",1,1.88020981746175e-05
"307","35065875",1,0.00493921835322579
"308","35113957",1,9.94091838976692e-06
"309","35135884",1,1.17156664433539e-05
"310","35140042",1,4.09808266669485e-05
"311","35159886",1,0.061219981897415
"312","35172625",1,7.53213017018951e-06
"313","35179495",1,0.000154941521604289
"314","35198346",1,1.16693702688307e-05
"315","35219255",1,8.22438479555423e-06
"316","35223505",1,1.21996667697515e-05
"317","35251874",1,3.64307191728159e-05
"318","35264620",1,3.01149109150135e-05
"319","35267071",1,5.17540919715539e-05
"320","35281281",1,0.295868975449671
"321","35286730",1,3.55534947297997e-05
"322","35289988",1,5.38817819384679e-06
"323","35304113",1,1.16693702688307e-05
"324","35314963",1,1.03958658176156e-05
"325","35315679",1,1.27253806431e-05
"326","35324974",1,2.32414741758066e-05
"327","35329057",1,1.10576284942746e-05
"328","35329128",1,1.42618239885494e-05
"329","35348080",1,1.054434686712e-05
"330","35361819",1,6.0193567351658e-05
"331","35368503",1,1.6868820539052e-05
"332","35379246",1,2.48031511465542e-05
"333","35381163",1,9.80883907797434e-06
"334","35408768",1,1.92934666196253e-05
"335","35409492",1,1.9811206809759e-05
"336","35441660",1,1.89225788316106e-05
"337","35465175",1,1.95489093122748e-05
"338","35501600",1,1.23527628297257e-05
"339","35531784",1,7.45605939271485e-06
"340","35549233",1,0.322043698690794
"341","35555602",1,3.59867618715903e-05
"342","35568117",1,5.00014704001099e-05
"343","35585519",1,1.05068303862879e-05
"344","35589008",1,2.65898149968279e-05
"345","35589045",1,4.6829747271496e-05
"346","35600997",1,2.04988139168743e-05
"347","35613841",1,8.17882779013032e-06
"348","35617996",1,3.64307191728159e-05
"349","35630836",1,0.588717551994545
"350","35632607",1,1.24046523179407e-05
"351","35639882",1,1.24046523179407e-05
"352","35654979",1,9.50782092083537e-05
"353","35669660",1,2.86538598108241e-05
"354","35673254",1,1.9945012918639e-05
"355","35684313",1,1.66782759776716e-05
"356","35721702",1,2.10842473418919e-05
"357","35730116",1,2.06421030857154e-05
"358","35743527",1,1.95489093122748e-05
"359","35751630",1,7.47493267049175e-06
"360","35756663",1,8.17882779013032e-06
"361","35772518",1,6.14460588975322e-05
"362","35817536",1,2.43933817169363e-05
"363","35820780",1,0.337919843987343
"364","35831108",1,2.54442855218308e-05
"365","35838016",1,6.275178106572e-05
"366","35862481",1,0.687698696051028
"367","35875489",1,8.18945312221173e-05
"368","35882330",1,6.96374668843412e-06
"369","35890054",1,9.61717225558854e-06
"370","35913253",1,2.13896854235373e-05
"371","35914674",1,3.49034720761207e-06
"372","35926145",1,1.03231824648238e-05
"373","35928639",1,1.16693702688307e-05
"374","36026454",1,1.24046523179407e-05
"375","36046296",1,1.46874250213595e-05
"376","36049030",1,2.52269227192552e-05
"377","36080524",1,1.44714959913432e-05
"378","36083504",1,0.00340604060613172
"379","36116835",1,1.31797387252163e-05
"380","36129008",1,3.88256159011464e-05
"381","36137802",1,4.32325702096911e-06
"382","36141075",1,1.34805648740464e-05
"383","36144330",1,9.28456454887463e-06
"384","36152538",1,3.88256159011464e-05
"385","36157778",1,3.57918604939025e-06
"386","36158632",1,6.54690291579104e-06
"387","36174288",1,1.13117693418013e-05
"388","36176403",1,1.44714959913432e-05
"389","36188740",1,6.14460588975322e-05
"390","36197572",1,1.24569795830374e-05
"391","36198621",1,2.39969317268449e-05
"392","36238043",1,1.55374853897363e-05
"393","36265833",1,5.45788823123407e-06
"394","36272482",1,1.26166441506973e-05
"395","36285239",1,8.55807082272769e-06
"396","36291878",1,1.10991892983349e-05
"397","36307211",1,0.239576887915636
"398","36318795",1,0.000122741278438583
"399","36355567",1,1.04695799240741e-05
"400","36400599",1,3.83217735820307e-05
"401","36407520",1,1.10991892983349e-05
"402","36415988",1,0.10189130737578
"403","36418827",1,1.04325926610818e-05
"404","36422243",1,1.9945012918639e-05
"405","36423188",1,6.275178106572e-05
"406","36461493",1,1.28360077194601e-05
"407","36479452",1,1.94203480203022e-05
"408","36519652",1,2.78433531102555e-05
"409","36541906",1,1.50619913627877e-05
"410","36569703",1,5.6724801313849e-05
"411","36570654",1,5.26772985189915e-05
"412","36571963",1,1.05068303862879e-05
"413","36573857",1,1.20013458181847e-05
"414","36582126",1,6.78767585006947e-06
"415","36586934",1,7.59020975960775e-06
"416","36599435",1,1.28360077194601e-05
"417","36615117",1,3.74723168253532e-06
"418","36627628",1,9.90756621331181e-06
"419","36638486",1,0.999439253604031
"420","36642718",1,1.48349935365782e-05
"421","36645517",1,7.43728118028032e-06
"422","36660279",1,2.03575003456698e-05
"423","36680157",1,1.1809369638159e-05
"424","36681094",1,2.81083788291118e-05
"425","36694873",1,6.0880006559902e-06
"426","36698706",1,8.89311640295738e-06
"427","36701111",1,7.59020975960775e-06
"428","36705199",1,1.41253857597146e-05
"429","36715395",1,1.58715187944655e-05
"430","36716838",1,9.97449587381009e-06
"431","36719045",1,1.6584608876975e-05
"432","36734091",1,2.27053760208621e-05
"433","36744042",1,0.9998756088446
"434","36760694",1,1.40581409300649e-05
"435","36775802",1,3.82488857430034e-06
"436","36792713",1,9.80883907797434e-06
"437","36812791",1,2.54442855218308e-05
"438","36832219",1,1.66782759776716e-05
"439","36840448",1,2.3803500214688e-05
"440","36844842",1,8.53334073531717e-06
"441","36858626",1,5.44781942392883e-06
"442","36871886",1,1.1355266266335e-05
"443","36876367",1,2.89346174386809e-05
"444","36877722",1,1.01458441879027e-05
"445","36896418",1,2.68314108709352e-05
"446","36913462",1,1.13990989978803e-05
"447","36920620",1,8.34052904528797e-06
"448","36948775",1,1.02872205884206e-05
"449","36954140",1,3.04251849962537e-05
"450","36957369",1,4.6829747271496e-05
"451","36973635",1,1.03958658176156e-05
"452","36988921",1,1.52172223661831e-05
"453","37074642",1,9.16924949422744e-06
"454","37084619",1,3.59867618715903e-05
"455","37142921",1,3.10653172412174e-05
"456","37143689",1,3.34031968143119e-06
"457","37148836",1,0.375750077592886
"458","37150273",1,1.30631343415768e-05
"459","37159662",1,2.95129682088766e-05
"460","37168867",1,1.48349935365782e-05
"461","37176069",1,9.19780887975435e-06
"462","37180375",1,4.77792506838896e-06
"463","37180556",1,1.92934666196253e-05
"464","37204422",1,0.999299170422844
"465","37213471",1,1.07751952142558e-05
"466","37219072",1,2.52269227192552e-05
"467","37243939",1,0.244004267348278
"468","37246989",1,0.999299170422844
"469","37247409",1,0.210426579770962
"470","37254914",1,2.00806387876637e-05
"471","37257673",1,3.39199602347537e-05
"472","37289487",1,0.0813308592079688
"473","37289634",1,0.106722752297791
"474","37336871",1,4.47030255149618e-05
"475","37389481",1,1.16234385463714e-05
"476","37395986",1,0.0573234632815839
"477","37403682",1,0.827058693032211
"478","37405221",1,2.21934520101688e-05
"479","37409153",1,3.24299400242379e-05
"480","37413626",1,3.39199602347537e-05
"481","37419561",1,4.09808266669485e-05
"482","37427976",1,1.38601938320522e-05
"483","37439039",1,1.63098155227416e-05
"484","37445823",1,7.95840930007783e-06
"485","37452239",1,6.19009284802716e-06
"486","37457765",1,2.56654266066393e-05
"487","37461203",1,3.04251849962537e-05
"488","37509121",1,1.73647900116556e-05
"489","37521011",1,1.58715187944655e-05
"490","37523631",1,0.0855194151151736
"491","37528335",1,5.62420516245147e-06
"492","37537605",1,5.89911163589191e-05
"493","37555434",1,6.40490586004583e-06
"494","37558498",1,1.84496889186668e-05
"495","37581538",1,4.38748997276751e-06
"496","37615250",1,1.14877875581086e-05
"497","37617556",1,1.19045838149779e-05
"498","37625716",1,9.31384794019458e-06
"499","37632735",1,1.4331036300463e-05
"500","37634349",1,1.20996936998734e-05
"501","37650349",1,0.997667915709667
"502","37662379",1,0.999512356894474
"503","37679132",1,8.02327722602562e-06
"504","37684053",1,2.45965598990317e-05
"505","37684678",1,8.89311640295738e-06
"506","37693542",1,5.53979867805124e-06
"507","37697171",1,1.23013056475278e-05
"508","37699062",1,1.39915333138036e-05
"509","37706697",1,1.03593966529852e-05
"510","37711051",1,1.48349935365782e-05
"511","37715757",1,3.83980897028527e-06
"512","37715875",1,1.74675043526068e-05
"513","37727820",1,3.88256159011464e-05
"514","37738759",1,1.01808227338582e-05
"515","37739538",1,2.89346174386809e-05
"516","37749087",1,5.77827516788574e-06
"517","37750547",1,1.12257675952163e-05
"518","37750638",1,1.21996667697515e-05
"519","37793364",1,0.0716679872743653
"520","37801454",1,2.92073924741866e-06
"521","37806128",1,6.48935519524403e-06
"522","37806275",1,2.52269227192552e-05
"523","37809567",1,1.58715187944655e-05
"524","37830008",1,2.13896854235373e-05
"525","37839701",1,3.4314107694886e-05
"526","37849739",1,1.05821322263805e-05
"527","37854185",1,9.05676374429247e-06
"528","37864255",1,5.08626877486718e-05
"529","37864491",1,2.56654266066393e-05
"530","37889067",1,9.90756621331181e-06
"531","37897058",1,4.22430670873572e-06
"532","37897876",1,1.0111105172581e-05
"533","37904419",1,1.57027258766752e-05
"534","37906461",1,3.01149109150135e-05
"535","37915326",1,9.31384794019458e-06
"536","37936588",1,1.92934666196253e-05
"537","37938389",1,0.999698441142905
"538","37939567",1,3.31582194319433e-05
"539","37944398",1,6.86659147432676e-06
"540","37946486",1,1.75714410536077e-05
"541","37955191",1,9.87443708427995e-06
"542","37977210",1,0.999829490312194
"543","37985551",1,2.07874095728188e-05
"544","37989016",1,3.35347646634233e-05
"545","37989803",1,2.23615090285675e-05
"546","38006427",1,3.88256159011464e-05
"547","38023093",1,2.41935327130399e-05
"548","38045423",1,2.20279022004199e-05
"549","38048683",1,0.911818245452916
"550","38049329",1,9.77636582902736e-06
"551","38049334",1,2.56654266066393e-05
"552","38070572",1,4.46038738110794e-06
"553","38070702",1,2.72909306646633e-06
"554","38071714",1,8.34052904528797e-06
"555","38099204",1,1.00083009562463e-05
"556","38106036",1,6.37724240886959e-06
"557","38121112",1,1.12257675952163e-05
"558","38125926",1,1.72632765932451e-05
"559","38132927",1,1.60439799460729e-05
"560","38164006",1,1.91682323976344e-05
"561","38168658",1,1.06971307943949e-05
"562","38172510",1,1.92934666196253e-05
"563","38178208",1,1.23527628297257e-05
"564","38178535",1,2.3803500214688e-05
"565","38186942",1,1.01458441879027e-05
"566","38197629",1,1.17156664433539e-05
"567","38224152",1,0.991276094901381
"568","38230495",1,1.49855574687976e-05
"569","38254720",1,2.09347762818787e-05
"570","38265103",1,2.58904453506756e-05
"571","38270537",1,6.94736367879926e-06
"572","38297333",1,4.26087767604007e-06
"573","38328727",1,1.12257675952163e-05
"574","38330918",1,9.52412057474894e-06
"575","38352227",1,0.980290685742542
"576","38377156",1,0.195052301588403
"577","38380827",1,0.291775584449749
"578","38389706",1,4.38098091409901e-06
"579","38397672",1,8.94700443367205e-06
"580","38403001",1,1.9811206809759e-05
"581","38435582",1,0.829873495385099
"582","38440876",1,0.528691967525538
"583","38453830",1,1.39915333138036e-05
"584","38460678",1,1.21494745788917e-05
"585","38461294",1,0.000147217255589662
"586","38466167",1,2.21934520101688e-05
"587","38471362",1,7.59020975960775e-06
"588","38480000",1,3.7905211927148e-06
"589","38492388",1,0.999480767671752
"590","38492639",1,5.00014704001099e-05
"591","38504315",1,1.10991892983349e-05
"592","38506793",1,9.58595365669167e-06
"593","38507565",1,3.13955918259069e-05
"594","38508387",1,6.0193567351658e-05
"595","38511443",1,2.75832784103392e-05
"596","38554037",1,1.46147362492581e-05
"597","38562514",1,6.16425013528222e-06
"598","38565470",1,3.13955918259069e-05
"599","38576865",1,1.23013056475278e-05
"600","38614201",1,2.73280172762266e-05
"601","38615132",1,1.15778669892974e-05
"602","38627025",1,7.40000709275345e-06
"603","38629237",1,3.04251849962537e-05
"604","38629740",1,2.48031511465542e-05
"605","38633023",1,9.77636582902736e-06
"606","38647186",1,7.85259600996326e-06
"607","38687434",1,8.73527801137027e-06
"608","38697565",1,8.06711319724045e-06
"609","38698109",1,8.13377270861184e-06
"610","38704516",1,0.856958843116177
"611","38711908",1,1.9811206809759e-05
"612","38714097",1,0.116411490988849
"613","38734740",1,5.56557133869023e-05
"614","38737317",1,2.13896854235373e-05
"615","38739188",1,5.00014704001099e-05
"616","38764797",1,5.78357657622297e-05
"617","38786207",1,1.9811206809759e-05
"618","38790603",1,1.86831420193693e-05
"619","38812779",1,1.75714410536077e-05
"620","38814340",1,7.70909810664964e-06
"621","38820356",1,3.83217735820307e-05
"622","38855867",1,1.06585212258661e-05
"623","38858550",1,1.054434686712e-05
"624","38859525",1,3.17329645820557e-05
"625","38863716",1,8.91997903097769e-06
"626","38863827",1,9.31384794019458e-06
"627","38872460",1,0.908203487853048
"628","38889466",1,3.01149109150135e-05
"629","38922420",1,0.519529559867661
"630","38929072",1,1.27253806431e-05
"631","38931315",1,2.45965598990317e-05
"632","38964840",1,1.08146562567965e-05
"633","38966184",1,1.41932769907216e-05
"634","38970723",1,1.29485751191027e-05
"635","38974070",1,7.02117409264132e-05
"636","38975554",1,1.75714410536077e-05
"637","38989659",1,4.60987070925047e-05
"638","39014049",1,1.19527689889058e-05
"639","39015444",1,1.00766032358551e-05
"640","39020065",1,7.09764588390093e-06
"641","39044130",1,1.34805648740464e-05
"642","39056199",1,4.98774543936809e-06
"643","39068073",1,3.77598064948966e-06
"644","39069689",1,6.75661516990564e-06
"645","39071178",1,3.35347646634233e-05
"646","39088230",1,6.22926576988385e-06
"647","39096701",1,1.6868820539052e-05
"648","39118038",1,3.13955918259069e-05
"649","39126454",1,1.52172223661831e-05
"650","39126827",1,8.78726457581902e-06
"651","39134238",1,4.15301631487171e-06
"652","39135928",1,3.73523268621883e-05
"653","39139313",1,1.15778669892974e-05
"654","39154613",1,4.74720177943139e-06
"655","39172254",1,2.61194446468667e-05
"656","39172786",1,1.56196686256214e-05
"657","39205895",1,1.39915333138036e-05
"658","39215533",1,1.52172223661831e-05
"659","39224930",1,3.83217735820307e-05
"660","39228311",1,2.12358681512154e-05
"661","39259293",1,1.03593966529852e-05
"662","39260387",1,3.31582194319433e-05
"663","39268365",1,1.14877875581086e-05
"664","39285596",1,3.51305362242865e-05
"665","39305118",1,8.34052904528797e-06
"666","39306577",1,0.999886435120458
"667","39323491",1,0.99689309658154
"668","39323769",1,1.46874250213595e-05
"669","39338259",1,0.948890657976658
"670","39343694",1,2.34258438992422e-05
"671","39348995",1,4.91689320664085e-05
"672","39352746",1,1.31797387252163e-05
"673","39358842",1,7.41859731672153e-06
"674","39361356",1,2.43933817169363e-05
"675","39364466",1,1.56196686256214e-05
"676","39364901",1,3.47175227734576e-05
"677","39367722",1,1.2509750188584e-05
"678","39369490",1,3.01149109150135e-05
"679","39369856",1,0.354189246775292
"680","39388560",1,8.81349059267378e-06
"681","39395503",1,4.53901400377802e-05
"682","39405067",1,1.6131623681795e-05
"683","39414913",1,1.57866711601045e-05
"684","39416033",1,1.0894451827732e-05
"685","39416301",1,1.96791840801453e-05
"686","39425569",1,7.02117409264132e-05
"687","39428356",1,5.23533807994163e-06
"688","39435028",1,5.56557133869023e-05
"689","39450504",1,7.08062756071589e-06
"690","39457873",1,9.40281701419494e-06
"691","39466964",1,3.995675091437e-06
"692","39467200",1,1.88020981746175e-05
"693","39475569",1,1.34193060246031e-05
"694","39476480",1,2.3803500214688e-05
"695","39485459",1,8.20154302960246e-06
"696","39485766",1,1.07751952142558e-05
"697","39504785",1,0.679504279668613
"698","39540366",1,1.09347928249775e-05
"699","39555686",1,2.02181217940449e-05
"700","39561186",1,1.88020981746175e-05
"701","39589556",1,1.9945012918639e-05
"702","39591223",1,9.21124888521463e-05
"703","39593580",1,1.14877875581086e-05
"704","39596490",1,0.00615085745603075
"705","39601492",1,2.06421030857154e-05
"706","39604499",1,1.05068303862879e-05
"707","39615381",1,1.44714959913432e-05
"708","39617025",1,5.58168283873228e-06
"709","39617171",1,1.03593966529852e-05
